Brand,Name,Color,RAM,Storage,Battery(mAh),Camera,Price(in Rs),Original Price(in Rs),Discount,Rating
Ai+,Ai+ Nova 2 Neo 5G,Red,4.0,64.0,6000.0, Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display48MP Rear Camera,14999.0,17999.0,16.67,4.4
Ai+,Ai+ Nova 2 Neo 5G,Black,4.0,128.0,6000.0, Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display48MP Rear Camera,15999.0,18999.0,15.79,4.4
MOTOROLA,MOTOROLA g37,PANTONE Nautical Blue,4.0,64.0,5200.0, Expandable Upto 1 TB16.92 cm (6.66 inch) HD+ Display50MP Rear Camera,16999.0,24999.0,32.0,4.3
Ai+,Ai+ Nova 2 Ultra 5G,Purple,6.0,128.0,6000.0, 13MP Front Camera,20999.0,25999.0,19.23,4.1
realme,realme Narzo 90x 5G,Maroon Red,4.0,128.0,7000.0, 128 GB ROM17.27 cm (6.8 inch) HD+ Display50MP Rear Camera,18099.0,29999.0,39.67,4.1
realme,realme Narzo 90x 5G,Flash Blue,6.0,128.0,7000.0, 128 GB ROM17.27 cm (6.8 inch) Display50MP Rear Camera,20407.0,33999.0,39.98,4.3
Ai+,Ai+ Nova 2 Ultra 5G,Red,6.0,128.0,6000.0, 13MP Front Camera,20999.0,25999.0,19.23,4.1
POCO,POCO C81x,Crystal Black,3.0,64.0,5200.0, Expandable Upto 2 TB17.48 cm (6.88 inch) Display13MP Rear Camera,11999.0,18999.0,36.84,4.0
Ai+,Ai+ Nova 2 Neo 5G,Green,4.0,64.0,6000.0, Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display48MP Rear Camera,14999.0,17999.0,16.67,4.4
Ai+,Ai+ Nova 2 Pro 5G,Black,6.0,128.0,6000.0, Expandable Upto 2 TB17.53 cm (6.9 inch) Full HD+ Display48MP Rear Camera,17999.0,21999.0,18.18,4.1
realme,,,6.0,128.0,1750.0, 0MP Front Camera,1331.0,1649.0,19.28,4.2
realme,,,6.0,128.0,1200.0, 4 MB ROM6.1 cm (2.4 inch) Display0.3MP Rear Camera,1295.0,1649.0,21.47,4.1
Samsung,Samsung A36 5G,Dark Blue,8.0,256.0,5000.0, 12MP Front Camera,32999.0,43999.0,25.0,4.3
Samsung,Samsung M36 5G,Velvet Black / Black,6.0,128.0,5000.0, 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera,22479.0,26999.0,16.74,4.3
Ai+,Ai+ Nova 2 5G,Black,6.0,128.0,6000.0, Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera,14999.0,,,4.2
realme,,,6.0,128.0,1200.0, 4 MB ROM6.1 cm (2.4 inch) Display0.3MP Rear Camera,1255.0,1649.0,23.89,4.1
MOTOROLA,MOTOROLA Edge 70 Fusion Snapdragon,Pantone COUNTRY AIR,12.0,256.0,7000.0, 32MP Front Camera,34999.0,59999.0,41.67,4.3
realme,realme Narzo 90x 5G,Aqua Blue,4.0,128.0,7000.0, 128 GB ROM17.27 cm (6.8 inch) HD+ Display50MP Rear Camera,18190.0,29999.0,39.36,4.1
POCO,POCO X8 Pro,Black,8.0,256.0,6500.0, 20MP Front Camera,39999.0,50999.0,21.57,4.3
Apple,Apple iPhone 17 Pro,Cosmic Orange,6.0,128.0,6000.0, 18MP Front Camera,132900.0,134900.0,1.48,4.7
realme,realme Narzo 90x 5G,Maroon Red,8.0,128.0,7000.0, 128 GB ROM17.27 cm (6.8 inch) Display50MP Rear Camera,22000.0,24590.0,10.53,4.3
MOTOROLA,MOTOROLA Edge 60 Pro,Pantone Walnut,12.0,256.0,6000.0, 50MP Front Camera,33999.0,40999.0,17.07,4.3
Samsung,Samsung Galaxy M17e,Blitz Blue,4.0,128.0,6000.0, Expandable Upto 128 GB17.02 cm (6.7 inch) Full HD+ Display50MP Rear Camera,15895.0,18999.0,16.34,4.0
